customer_id,gender,region,branch,marital_status,employment_status,account_type,account_open_date,last_transaction_date,months_active,account_balance_ksh,monthly_income_ksh,credit_score,num_transactions_30d,num_products_held,loan_type,loan_amount_ksh,loan_outstanding_ksh,monthly_repayment_ksh,churn_label,days_since_last_txn,account_age_months,loan_to_income_ratio,repayment_burden,balance_to_income_ratio,has_loan
CUS00001,Female,Eldoret,CBD Branch,Single,Employed,Savings,2024-08-02,2024-08-02,47,70390.21,21106.94,572.0,16,1,Auto,222079.74,86004.59,2671.6,0,152,4.993429697766097,48.89648049409342,0.1265744821371549,3.334932017620745,1
CUS00002,Male,Eldoret,Town Centre,Divorced,Employed,Fixed Deposit,2021-08-17,2021-08-17,45,451518.21,3825.87,428.0,27,1,No Loan,1679466.51,596249.4,30490.27,0,1233,40.50591327201051,1870.160982992104,7.969499747769789,118.01713335790292,1
CUS00003,Female,Thika,Airport Road,Divorced,Self-Employed,Joint,2021-02-21,2024-08-10,29,197511.85,232308.54,587.0,22,3,No Loan,598597.43,523616.6,9876.35,0,144,46.320630749014455,27.04764620362213,0.04251393427034581,0.850213470413098,1
CUS00004,Female,Nairobi,Town Centre,Widowed,Business Owner,Current,2022-07-18,2022-07-18,34,136941.38,30119.34,693.0,18,2,Business,0.0,0.0,0.0,0,898,29.50065703022339,0.0,0.0,4.546626187692028,0
CUS00005,Male,Nairobi,Airport Road,Single,Employed,Business,2022-05-17,2023-11-02,15,25443.73,46756.2,663.0,22,4,No Loan,0.0,0.0,0.0,0,426,31.537450722733244,0.0,0.0,0.5441787399318165,0
CUS00006,Female,Kisumu,Town Centre,Single,Employed,Fixed Deposit,2022-04-03,2023-08-20,46,25439.44,9740.87,617.0,18,4,No Loan,0.0,0.0,0.0,0,500,32.98291721419185,0.0,0.0,2.6116188800384355,0
CUS00007,Male,Eldoret,Industrial Area,Single,Business Owner,Current,2021-10-13,2023-10-13,9,8975.82,145083.28,597.0,20,3,No Loan,358720.81,106705.6,2643.23,0,446,38.633377135348226,8.825739258169515,0.01821870859274756,0.061866674092286855,1
CUS00008,Male,Mombasa,Westlands,Single,Retired,Business,2021-07-29,2021-12-05,16,301684.63,2241.66,517.0,15,3,Mortgage,1180529.08,362309.26,20593.27,0,1123,41.13009198423127,1939.5051524316802,9.186616168375222,134.580904329827,1
CUS00009,Female,Nyeri,Airport Road,Widowed,Employed,Savings,2024-10-17,2024-10-17,2,137862.32,143656.95,661.0,25,2,Personal,0.0,0.0,0.0,0,76,2.4967148488830486,0.0,0.0,0.9596634203914255,0
CUS00010,Male,Thika,CBD Branch,Single,Retired,Joint,2024-01-22,2024-01-22,1,184687.51,12092.35,553.0,17,2,Business,130955.62,61332.47,1213.73,0,345,11.333771353482259,60.86407025929616,0.10037172261801883,15.273086703577055,1
CUS00011,Male,Thika,Market Branch,Married,Employed,Fixed Deposit,2021-06-28,2022-10-19,9,3119.9,174121.4,617.0,18,5,Auto,132424.49,48399.05,1269.95,0,805,42.1484888304862,3.3355383083297063,0.007293474552812004,0.01791795838995092,1
CUS00012,Male,Mombasa,Industrial Area,Single,Self-Employed,Fixed Deposit,2024-04-24,2024-04-24,20,525533.62,104679.33,665.0,24,4,Auto,542821.66,80639.42,4204.14,0,252,8.278580814717477,9.244165395403275,0.0401620835746656,5.020414440940728,1
CUS00013,Male,Eldoret,Main Branch,Single,Self-Employed,Joint,2023-05-15,2023-05-15,46,267964.43,14394.3,573.0,25,4,No Loan,347645.06,197704.64,3972.41,0,597,19.612352168199735,164.81910756341054,0.2759710440938427,18.61600980943846,1
CUS00014,Male,Nakuru,Industrial Area,Married,Business Owner,Current,2021-03-07,2022-07-24,2,35803.14,66743.32,571.0,21,5,No Loan,537864.33,449088.9,16772.23,1,892,45.86070959264126,80.74316351059551,0.25129451157059607,0.5364303124267716,1
CUS00015,Female,Nairobi,Market Branch,Married,Employed,Joint,2021-03-03,2021-04-14,1,30101.85,29993.67,612.0,17,3,Business,0.0,0.0,0.0,0,1358,45.992115637319316,0.0,0.0,1.0036067610265766,0
CUS00016,Male,Nyeri,Industrial Area,Married,Retired,Joint,2021-07-11,2023-11-05,10,30391.71,15703.88,600.0,24,4,Business,0.0,0.0,0.0,0,423,41.72141918528252,0.0,0.0,1.9352994291856536,0
CUS00017,Male,Nakuru,Industrial Area,Widowed,Employed,Fixed Deposit,2022-03-24,2022-04-02,23,54413.06,156823.07,709.0,25,1,Mortgage,27777.28,17768.49,315.68,0,1005,33.31143232588699,1.3596333753700907,0.002012969137767804,0.34697101644547573,1
